Date,PG,IBM,GE,F
1995-07-20,9.859131,18.605733999999998,5.2936760000000005,5.478611
1995-07-21,9.840736999999999,18.516382,5.338254,5.454998000000001
1995-07-24,9.895918,19.208796,5.315964,5.431383
1995-07-25,10.00628,19.365147,5.315964,5.643915
1995-07-26,10.2638,19.476826000000003,5.282531,5.573072
1995-07-27,10.318978999999999,19.789526000000002,5.282531,5.620302
1995-07-28,10.2638,19.767193,5.237953,5.525843
1995-07-31,10.135042,19.454491,5.260244,5.5373
1995-08-01,10.116647,19.588510999999997,5.226808999999999,5.465698000000001
1995-08-02,10.227012,19.208796,5.115362,5.4895629999999995
1995-08-03,10.061461999999999,19.476826000000003,5.115362,5.44183
1995-08-04,10.245407,19.409815,5.1376550000000005,5.4895629999999995
1995-08-07,10.208611999999999,19.454491,5.237953,5.5373
1995-08-08,10.153433,19.633585,5.260244,5.5373
1995-08-09,10.061461999999999,19.678358,5.226808999999999,5.44183
1995-08-10,10.098253,19.544039,5.171086,5.417962
1995-08-11,10.116647,19.566416,5.148795,5.346361
1995-08-14,10.135042,19.835072,5.226808999999999,5.513433
1995-08-15,10.061461999999999,20.058943,5.226808999999999,5.465698000000001
1995-08-16,9.895918,20.126102,5.193375,5.44183
1995-08-17,9.859131,20.349974,5.1376550000000005,5.394094
1995-08-18,9.877525,19.947006,5.104216,5.394094
1995-08-21,9.859131,19.118689,5.126507,5.417962
1995-08-22,9.895918,19.275394,5.126507,5.417962
1995-08-23,9.951102,19.096298,5.104216,5.513433
1995-08-24,10.043067,18.782877,5.148795,5.5611690000000005
1995-08-25,10.135042,18.603771,5.204519,5.4895629999999995
1995-08-28,10.19022,18.200808,5.237953,5.5611690000000005
1995-08-29,10.227012,18.335129000000002,5.249098,5.775978
1995-08-30,10.227012,18.200808,5.260244,5.799846
1995-08-31,10.208611999999999,18.514225,5.249098,5.871449
1995-09-01,10.208611999999999,18.402281,5.237953,5.966918
1995-09-05,10.245407,18.111256,5.237953,6.181729
1995-09-06,10.245407,18.044094,5.2936760000000005,6.06239
1995-09-07,10.208611999999999,17.797833999999998,5.271388,5.966918
1995-09-08,10.245407,17.708285999999998,5.237953,6.110125
1995-09-11,10.466130999999999,17.260536,5.249098,6.110125
1995-09-12,10.539703999999999,17.462029,5.349399,5.895314
1995-09-13,10.778824,16.947123,5.405122,5.775978
1995-09-14,10.981157000000001,16.723248,5.561145,5.871449
1995-09-15,11.054735,16.521769,5.694882,6.110125
1995-09-18,11.013342,16.857563,5.561145,6.06239
1995-09-19,11.109913,17.327703,5.527712,5.990787
1995-09-20,11.07313,17.148607000000002,5.527712,6.157858999999999
1995-09-21,11.146707000000001,16.902344,5.538857,6.014656
1995-09-22,11.275458,16.812799,5.61687,5.919185
1995-09-25,11.422613,16.611307,5.73946,5.990787
1995-09-26,11.496188,16.633701000000002,5.728314,5.943052
1995-09-27,11.422613,16.902344,5.6978029999999995,5.966918
1995-09-28,11.330644,16.812799,5.675374,6.06239
1995-09-29,11.330644,16.924726,5.720237,5.943052
1995-10-02,11.367433,16.745638,5.6978029999999995,5.871449
1995-10-03,11.514585,16.991896,5.6641580000000005,5.823713
1995-10-04,11.624951,16.790403,5.709022,5.6805069999999995
1995-10-05,11.624951,16.924726,5.652941,5.752109
1995-10-06,11.790488,16.857563,5.641726,5.728243
1995-10-09,11.937642,16.476994,5.641726,5.656638
1995-10-10,11.845673,16.253117,5.619293,5.632769000000001
1995-10-11,11.772093,16.566536,5.574428,5.728243
1995-10-12,11.864068,16.656084,5.641726,6.086257
1995-10-13,11.808881,16.566536,5.652941,6.06239
1995-10-16,11.680128,16.835192000000003,5.641726,5.895314
1995-10-17,11.772093,17.350088,5.742669,5.871449
1995-10-18,11.812766,17.260536,5.7651010000000005,5.752109
1995-10-19,12.016115,17.596354,5.854830000000001,5.752109
1995-10-20,11.979142999999999,17.081444,5.798749,5.728243
1995-10-23,11.960654,17.730663,5.6978029999999995,5.656638
1995-10-24,12.38584,17.551582,5.652941,5.656638
1995-10-25,12.219466,17.215767,5.652941,5.608902
1995-10-26,12.108549,17.170992000000002,5.608078,5.5611690000000005
1995-10-27,12.053092999999999,17.28293,5.585643,5.6805069999999995
1995-10-30,12.016115,17.596354,5.6641580000000005,5.723978
